"Player","Squad","Born","PrgC","PrgP","Gls","Ast","G+A","xG","xAG"
Gianluca Gaetano,Napoli,2000,4,4,1.2,1.2,2.4,1.42,0.22
Cody Gakpo,Liverpool,1999,36,50,0.43,0.12,0.56,0.38,0.17
Pablo Galdames Mill�n,Cremonese,1996,5,33,0.12,0.24,0.37,0.04,0.13
Conor Gallagher,Chelsea,2000,40,105,0.17,0.06,0.22,0.14,0.13
Ignatius Ganago,Nantes,1999,27,20,0.3,0.18,0.47,0.22,0.1
Aleix Garc�a,Girona,1997,41,156,0.04,0.19,0.23,0.07,0.23
�lvaro Garc�a,Rayo Vallecano,1992,116,71,0.16,0.16,0.31,0.11,0.18
Francisco Garcia,Rayo Vallecano,1999,183,147,0.05,0.08,0.13,0.03,0.04
Ra�l Garc�a,Athletic Club,1986,12,38,0.19,0.28,0.47,0.48,0.1
Rub�n Garc�a,Osasuna,1993,16,40,0.16,0.16,0.31,0.14,0.15
Alejandro Garnacho,Manchester United,2004,33,12,0.47,0.32,0.79,0.48,0.16
Johan Gastien,Clermont Foot,1988,13,219,0.14,0.1,0.24,0.04,0.07
Gavi,Barcelona,2004,49,134,0.07,0.14,0.21,0.11,0.13
Dennis Geiger,Hoffenheim,1998,21,99,0.05,0.14,0.18,0.01,0.12
Yannick Gerhardt,Wolfsburg,1994,12,82,0.29,0.19,0.48,0.28,0.11
Paolo Ghiglione,Cremonese,1997,5,19,0.13,0.13,0.25,0.1,0.08
Morgan Gibbs-White,Nott'ham Forest,2000,69,131,0.15,0.24,0.39,0.18,0.25
